country,vat_type,category_id,rate_type,rate_value,comment
BE,REDUCED,WRITERS_SERVICES,REDUCED_RATE,6.0,"The transfer of intellectual property rights according to Royal Decree N° 20, Table A, category XXIX, 1° with the exception of the supply of advertising services (59.11.3) and the transfer and licensing of intellectual property rights on computer programs (58.29.50). The reduced rate only applies to 58.11.6, 58.12.3, 58.14.4, 58.19.30, 59.13.11, 59.20, 60.10.12, 60.2, 74.3, 77.40.1 in that context."
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category  XXXIV, 3°:
- the training of assistance dogs, referred to in category XXIII, 9°, by an assistance dog school recognized by the competent authority and the services provided by veterinarians to these dogs: CPA-code?
- the services provided by veterinarians in 75.00.11 to assistance dogs, referred to in category XXIII, 9°"
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category  XXXIV, 1° - Rental of goods referred to in category XXIII, 2° to 8° and 11°

The reduced rate only applies to the rental in 77.29.19 of the mentioned goods"
BE,REDUCED,WRITERS_SERVICES,REDUCED_RATE,6.0,"According to Royal Decree N° 20, Table A, category XXIX, 2°, the services relating to the performance of theatrical, choreographic, musical works, circus, music hall or artistic cabaret shows and similar activities, which fall within the normal activity of actors, conductors'orchestra, musicians and other artists, even if these services are provided by a legal person with the exception of the advertising services. The reduced rate applies to 90.01 and 90.03 in that context."
BE,REDUCED,CULTURAL_EVENTS,REDUCED_RATE,6.0,"Admission to and use of cultural and entertainment facilities according to Royal Decree N° 20, Table A, category XXVIII with the exception of the 
- right to use automatic entertainment devices
- putting at disposal of movable goods.

If the VAT exemption does not apply and provided that the services are covered by said category XXVIII, the reduced rate applies to 90.04, 91.02.10, 91.03.10, 91.04.11, 93.2"
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category  XXIII, N° 14 - bras and bathing suits adapted to external breast prosthetics:

The reduced rate only applies to bras and bathings suits prescribed by a physician, when they are intended to alleviate the effects of a chronic or long-term illness or of a disability in:
6112 41, 6112 49, 6211 12 00, 6212 10 90"
BE,REDUCED,SPORTING_EVENTS,REDUCED_RATE,6.0,"Admission to and use of sports facilities according to Royal Decree N° 20, Table A, category XXVIII with the exception of the:
- right to use automatic entertainment devices
- putting at disposal of movable goods"
BE,REDUCED,SHOES_REPAIR,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XXXIX, 2°"
BE,REDUCED,CLOTHING_REPAIR,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XXXIX, 3°"
BE,REDUCED,BICYCLES_RENTAL,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XXXIX, 1°"
BE,REDUCED,UNDERTAKERS_SERVICES,REDUCED_RATE,6.0,"The services normally supplied by undertakers - Royal Decree N° 20, Table A, category XXXIV, 2° with the exception - of food and drinks for immediate consumption 
- the services supplied by waiters, servants and other persons intervening in the supply of food and drinks to consumers under conditions permitting consumption on the spot, 
- the services relating to the supply of crypts or tombs

The reduced rate only applies for 96.03 in that context"
BE,REDUCED,SOCIAL_WELLBEING,REDUCED_RATE,6.0,"For supplies of goods received for free, with the exception of the goods referred to in article 1, § 8, of the Belgian VAT Code, of goods listed in article 35 of that Code, of goods subject to the tax referred to in article 44, § 3, 1° of that Code, of goods acquired for use as capital goods, of works of art or collectors' items or antiques,  under the conditions as set out in Royal Decree N° 20, Table A, category XXIIIbis"
BE,REDUCED,SOCIAL_WELLBEING,REDUCED_RATE,6.0,"For services, with the exception of the work in immovable property within the meaning of article 19, § 2, second paragraph of the Belgian VAT Code, of the operations listed in category XXXI, § 3, 3° to 6°, of the Table A in the Royal Decree N° 20, as well as the maintenance and repair of the goods listed in article 35 of the Code, including the supply of parts, equipment and accessories used to carry out these works, under the conditions as set out in Royal Decree N° 20, Table A, category XXXV"
BE,REDUCED,PLANT,REDUCED_RATE,6.0,"(*1) EXTRA INFO: *1 The reduced rate only applies to flowerpieces, wreaths, baskets, crates and similar composite articles, when at least 80 % of the cost of which is accounted for by the fresh produce specified in 0603 1100-0603 1980, 0604 2011, 0604 2019, 0604 2040, 0604 2090, 0604 9019. The reduced rate doesn’t apply to 0603 9000, 0604 9011, 0604 9091 and 0604 9099."
BE,REDUCED,FOODSTUFFS,REDUCED_RATE,12.0,"Royal Decree N° 20, Table B, category VI 

The reduced rate only applies for margarine in 1517"
